idArea;area
1;SECRETARIA DE SALUD PÚBLICA DE LA CIUDAD DE MÉXICO
2;SECRETARIA PARTICULAR DE LA SECRETARIA DE SALUD PÚBLICA DE LA CIUDAD DE MÉXICO
3;ASESOR DE LA OFICINA DE LA SECRETARIA DE SALUD PÚBLICA DE LA CIUDAD DE MÉXICO
4;SUBSECRETARÍA DE PRESTACIÓN DE SERVICIOS MÉDICOS E INSUMOS
5;CALIDAD EN SALUD Y BUZÓN DE LA SECRETARIA DE SALUD PÚBLICA
6;COMISIÓN DE BIOÉTICA
7;PROGRAMA DE VOLUNTAD ANTICIPADA Y CUIDADOS PALIATIVOS
8;DIRECCIÓN GENERAL DE ADMINISTRACIÓN Y FINANZAS 
9;DIRECCIÓN GENERAL DE DISEÑO DE POLÍTICAS, PLANEACIÓN Y COORDINACIÓN SECTORIAL
10;DIRECCIÓN GENERAL DE PRESTACIÓN DE SERVICIOS MÉDICOS Y URGENCIAS
11;DIRECCIÓN DE ADMINISTRACIÓN DE CAPITAL HUMANO
12;DIRECCIÓN DE COORDINACIÓN Y DESARROLLO SECTORIAL
13;DIRECCIÓN DE FINANZAS
14;DIRECCIÓN DE FORMACIÓN, ACTUALIZACIÓN MÉDICA E INVESTIGACIÓN
15;DIRECCIÓN DE INFORMACIÓN EN SALUD Y SISTEMAS INSTITUCIONALES
16;DIRECCIÓN DE MEDICAMENTOS, TECNOLOGÍA E INSUMOS
17;DIRECCIÓN DE PLANEACIÓN Y EVALUACIÓN
18;DIRECCIÓN DE RECURSOS MATERIALES, ABASTECIMIENTOS Y SERVICIOS
19;DIRECCIÓN DE SERVICIOS MÉDICOS LEGALES Y EN CENTROS DE READAPTACIÓN SOCIAL
20;DIRECCIÓN EJECUTIVA DE ATENCIÓN HOSPITALARIA
21;DIRECCIÓN EJECUTIVA DE URGENCIAS Y ATENCIÓN PRE-HOSPITALARIA
22;DIRECCIÓN JURÍDICA Y NORMATIVA
23;ORGANO INTERNO DE CONTROL
24;SUBDIRECCIÓN DE ABASTECIMIENTOS
25;SUBDIRECCIÓN DE AUDITORÍA OPERATIVA, ADMINISTRATIVA Y CONTROL INTERNO
26;SUBDIRECCIÓN DE CONTROL DE PERSONAL
27;SUBDIRECCIÓN DE DAÑOS A LA SALUD
28;SUBDIRECCIÓN DE DESARROLLO DE SISTEMAS DE SALUD
29;SUBDIRECCIÓN DE DESARROLLO ORGANIZACIONAL
30;SUBDIRECCIÓN DE FORMACIÓN Y ACTUALIZACIÓN MÉDICA
31;SUBDIRECCIÓN DE LA UNIDAD DE TRANSPARECIA Y CONTROL DE GESTIÓN DOCUMENTAL
32;SUBDIRECCIÓN DE MANTENIMIENTO Y SERVICIOS
33;SUBDIRECCIÓN DE MEDICAMENTOS
34;SUBDIRECCIÓN DE PLANEACIÓN Y PROGRAMACIÓN
35;SUBDIRECCIÓN DE PRESTACIONES Y POLÍTICA LABORAL
36;SUBDIRECCIÓN DE RECURSOS MATERIALES
37;SUBDIRECCIÓN DE SEGUIMIENTO PRESUPUESTAL Y EVALUACIÓN
38;SUBDIRECCIÓN DE SISTEMAS DE INFORMACIÓN EN SALUD
39;SUBDIRECCIÓN DE TECNOLOGÍA E INSUMOS
40;COORDINACIÓN DE COMUNICACIÓN SOCIAL Y ENLACE
41;COORDINACIÓN DE LO PENAL
42;COORDINACIÓN DE URGENCIAS Y DESASTRES
43;COORDINACIÓN OPERATIVA DE TRABAJO SOCIAL
44;JEFATURA DE UNIDAD DEPARTAMENTAL DE AUDITORIA OPERATIVA, ADMINISTRATIVA Y CONTROL INTERNO A
45;JEFATURA DE UNIDAD DEPARTAMENTAL DE AUDITORIA OPERATIVA, ADMINISTRATIVA Y CONTROL INTERNO B
46;JEFATURA DE UNIDAD DEPARTAMENTAL DE CAPACITACIÓN
47;JEFATURA DE UNIDAD DEPARTAMENTAL DE COMPRAS Y CONTROL DE MATERIALES
48;JEFATURA DE UNIDAD DEPARTAMENTAL DE CONTABILIDAD Y REGISTRO
49;JEFATURA DE UNIDAD DEPARTAMENTAL DE CONTRATOS
50;JEFATURA DE UNIDAD DEPARTAMENTAL DE CONTROL DE BIENES
51;JEFATURA DE UNIDAD DEPARTAMENTAL DE CONTROL DE PERSONAL
52;JEFATURA DE UNIDAD DEPARTAMENTAL DE CONTROL PRESUPUESTAL
53;JEFATURA DE UNIDAD DEPARTAMENTAL DE DESASTRES Y CONTINGENCIAS
54;JEFATURA DE UNIDAD DEPARTAMENTAL DE DOCUMENTACIÓN FARMACOLÓGICA
55;JEFATURA DE UNIDAD DEPARTAMENTAL DE EQUIPOS, INSUMOS DE LABORATORIO E IMAGEN
56;JEFATURA DE UNIDAD DEPARTAMENTAL DE FORTALECIMIENTO DE LOS SERVICIOS MÉDICOS DE APOYO
57;JEFATURA DE UNIDAD DEPARTAMENTAL DE INSTRUMENTACIÓN DE PROYECTOS
58;JEFATURA DE UNIDAD DEPARTAMENTAL DE INSTRUMENTOS JURÍDICOS
59;JEFATURA DE UNIDAD DEPARTAMENTAL DE INVESTIGACIÓN A
60;JEFATURA DE UNIDAD DEPARTAMENTAL DE INVESTIGACIÓN B
61;JEFATURA DE UNIDAD DEPARTAMENTAL DE LO CONSULTIVO Y PROCEDIMIENTOS LEGISLATIVOS
62;JEFATURA DE UNIDAD DEPARTAMENTAL DE LO CONTENCIOSO
63;JEFATURA DE UNIDAD DEPARTAMENTAL DE MANTENIMIENTO DE EQUIPO
64;JEFATURA DE UNIDAD DEPARTAMENTAL DE MANTENIMIENTO DE INMUEBLES Y SERVICIOS
65;JEFATURA DE UNIDAD DEPARTAMENTAL DE MATERIAL DE CURACIÓN
66;JEFATURA DE UNIDAD DEPARTAMENTAL DE MEDICINA LEGAL
67;JEFATURA DE UNIDAD DEPARTAMENTAL DE NÓMINAS
68;JEFATURA DE UNIDAD DEPARTAMENTAL DE NORMAS Y CONCURSOS
69;JEFATURA DE UNIDAD DEPARTAMENTAL DE ORGANIZACIÓN DE LA ATENCIÓN DE URGENCIAS
70;JEFATURA DE UNIDAD DEPARTAMENTAL DE POLÍTICA LABORAL
71;JEFATURA DE UNIDAD DEPARTAMENTAL DE PRESTACIONES
72;JEFATURA DE UNIDAD DEPARTAMENTAL DE PROYECTOS ESPECÍFICOS Y DE CALIDAD
73;JEFATURA DE UNIDAD DEPARTAMENTAL DE SERVICIOS MÉDICOS EN CENTROS DE READAPTACIÓN SOCIAL
74;JEFATURA DE UNIDAD DEPARTAMENTAL DE SUBSTANCIACIÓN
75;JEFATURA DE UNIDAD DEPARTAMENTAL DE SUPERVISIÓN Y CONTROL
76;JEFATURA DE UNIDAD DEPARTAMENTAL DE TELECOMUNICACIÓN Y LOGÍSTICA
77;JEFATURA DE UNIDAD DEPARTAMENTAL DE VIGILANCIA DE LA CALIDAD DE MEDICAMENTOS
78;JEFATURA DE UNIDAD DEPARTAMENTAL DE VIGILANCIA EPIDEMIOLÓGICA
79;DIRECCIÓN GENERAL DE LA AGENCIA DE PROTECCIÓN SANITARIA DE LA CIUDAD DE MÉXICO
80;DIRECCIÓN EJECUTIVA DEL CENTRO PARA LA PREVENCIÓN Y ATENCIÓN INTEGRAL DEL VIH/SIDA DE LA CIUDAD DE MÉXICO
81;DIRECCIÓN GENERAL DEL INSTITUTO PARA LA ATENCIÓN Y PREVENCIÓN DE LAS ADICCIONES DE LA CIUDAD DE MÉXICO
82;DIRECCIÓN DE VERIFICACIÓN Y CUMPLIMIENTO NORMATIVO DE CENTROS DE ATENCIÓN DE ADICCIONES
83;DIRECCIÓN DE DIFUSIÓN PARA LA PREVENCIÓN DE ADICCIONES
84;IMSS-BIENESTAR
85;OPD IMSS-BIENESTAR
