id_calle,id_colonia,descripcion_calle,id_delegacion
1260,127,calle chabacanos,10
1261,127,cerrada de chabacano,10
1262,127,calle peras,10
1263,127,calle cipres,10
1264,127,cerrada chabacano,10
1265,127,prolongacion manzanas,10
1266,127,andador chabacano,10
1267,127,avenida centenario,10
1269,127,andador durazno,10
1271,127,andador membrillo,10
1,3,1er andador,10
2,3,2do andadr5o,10
3,3,3er andador,10
4,3,calle artificios,10
5,3,calle bondojito,10
6,3,calle chico,10
7,3,calle florencio miranda,10
8,3,calle huichapan de leon,10
9,3,calle ixmiquilpan,10
10,3,avenida observatorio,10
11,3,calle tula,10
12,3,calle tulancingo,10
13,3,calle bejuco,10
14,3,calle el chico,10
15,3,calle florencio miranda,10
16,3,calle celulosa,10
17,3,andador chico,10
18,3,chico 1 andador,10
19,3,cerrada tulancingo,10
20,3,calle ana maria gallaga,10
21,3,calle ferrocarril de cuernavaca,10
22,3,calle pino,10
23,3,andador artificios,10
24,3,calle huichapan,10
25,3,calle acueducto,10
26,3,calle huchapan de leon,10
27,3,cerrada romilio ofrare,10
28,3,cerrada jacarandas,10
29,6,avenida de las dalias,10
30,6,calzada de la salud,10
31,6,calzada de las bombas,10
32,6,calle canope,10
33,6,calle crisantemos,10
34,6,calle campanilla,10
35,6,calle d,10
36,6,calle nardos,10
37,6,calle iris,10
38,6,calle rancho las cabañas,10
39,6,calle agave,10
40,6,calle malvas,10
41,6,calle  dracena,10
42,6,calle pensamientos,10
43,6,calle fovisste coapa,10
44,7,avenida de las dalias,10
45,7,calzada de la salud,10
46,7,calzada de las bombas,10
47,7,calle canope,10
48,7,calle crisantemos,10
49,7,calle campanilla,10
50,7,calle d,10
51,7,calle nardos,10
52,7,calle iris,10
53,7,calle rancho las cabañas,10
54,7,calle agave,10
55,7,calle malvas,10
56,7,calle  dracena,10
57,7,calle pensamientos,10
58,7,calle fovisste coapa,10
59,11,calle 1,10
60,11,andador 2,10
61,11,calle 3,10
62,11,andadro 4,10
63,11,calle5,10
64,11,calle alto lerma,10
65,11,calle alto lerma,10
66,11,andador 3,10
67,11,andaor 1,10
68,12,calle desembocadura,10
69,12,calle boca del rio,10
70,12,calle del ferrocarril,10
71,12,venida rio tacubaya,10
72,12,calle arturo soto rangel,10
73,12,temoluco 48 andador,10
74,12,acueducto de guadalupe,10
