id_colonia,colonia,id_delegacion,codigo_postal,id_entidad
2107,residencial insurgentes,12,14430,9
2403,san juan minas,13,16640,9
2404,san sebastian,13,16730,9
2448,xochipilli,13,16430,9
2280,barrio 18,13,16034,9
2291,cristo rey,13,16780,9
2295,del carmen,13,16720,9
2304,el mirador,13,16060,9
2308,el mirador,13,16776,9
2405,san juan tepepan,13,16020,9
2406,san mateo xalpa,13,16800,9
2407,san pedro,13,16090,9
2408,santa crucita,13,16070,9
2447,xaltocan,13,16090,9
2449,zona ejidal,13,16016,9
2450,xochimilco,13,16058,9
2451,xochimilco corporacion,13,16057,9
2275,año de juarez,13,16440,9
2276,arcos del sur,13,16010,9
2278,axcallote,13,16819,9
2279,axcayote,13,16220,9
2281,belen,13,16070,9
2282,bosques del sur,13,16010,9
2310,guadalupe,13,16840,9
2311,guadalupe,13,16860,9
2313,huichapan,13,16030,9
2315,jardines del sur,13,16050,9
2317,jardines del sur,13,16058,9
2323,la cañada,13,16310,9
2283,bosques residencial del sur,13,16010,9
2284,bracerasco,13,16350,9
2285,caltongo,13,16090,9
2286,calyequita,13,16750,9
2287,cerro grande,13,16810,9
2288,comision federal de electricidad,13,16028,9
2289,club monte sur,13,16909,9
2290,cuatetlan,13,16249,9
2292,chapultepec,13,16850,9
2293,chiquimola,13,16780,9
2294,del artista,13,16628,9
2296,division del norte infonavit,13,16030,9
2297,dolores tlali,13,16245,9
2298,delegacion politica xochimilco,13,16095,9
2299,el cedral,13,16870,9
2301,el arenal,13,16808,9
2302,el capulin,13,16880,9
2303,el mirador 2a seccion,13,16810,9
2305,el rosario,13,16070,9
2306,el mirador atemoaya,13,16550,9
2307,el sacrificio,13,16780,9
2309,el teoca,13,16888,9
2312,huacahuasta,13,16860,9
2314,la cebada,13,16034,9
2318,jimenez morales,13,16096,9
2319,la candelaria,13,16609,9
2321,la herradura hueytepec,13,16880,9
2322,la concepcion tlacoapa,13,16000,9
1864,los reyes mixquic,11,13610,9
1866,los reyes,11,13080,9
1867,manuel m lopez ii,11,13316,9
1868,los volcanes,11,13316,9
1931,arenal tepepan,12,14610,9
1939,cantera,12,14428,9
1940,cantera puente de piedra,12,14040,9
1946,corrales,12,14607,9
1948,cultura maya,12,14230,9
1949,cruz del farol,12,14248,9
1950,cuchilla de padierna,12,14220,9
1952,cumbres de tepetongo,12,14420,9
1956,cuchilla de padierna,12,14220,9
1965,el capulin,12,14260,9
1975,el mirador 3a seccion,12,14449,9
1841,la estacion,11,13319,9
1976,el mirador,12,14449,9
1861,las arboledas,11,13219,9
1863,los olivos,11,13219,9
1865,los olivos,11,13210,9
1875,ojo de agua,11,13450,9
1892,san nicolas tetelco,11,13700,9
1895,santa ana,11,13060,9
1898,santa catarina,11,13120,9
1899,santa catarina,11,13120,9
1901,santa ana,11,13300,9
1907,selene,11,13430,9
1920,zapotitla,11,13310,9
1924,zapotitlan,11,13209,9
1869,manuel m lopez iii,11,13300,9
1870,manuel gutierrez najera,11,13316,9
1871,miguel hidalgo,11,13200,9
1873,nueva tenochtitlan,11,13317,9
1876,peña alta,11,13549,9
1877,quiahuatla,11,13090,9
1878,potrero del llano,11,13550,9
1882,san agustin mixquic,11,13630,9
1884,san bartolo mixquic,11,13600,9
1885,san francisco tlaltenco,11,13400,9
1886,san jeronimo,11,13240,9
1888,san juan ixtayopan,11,13500,9
1889,san miguel,11,13070,9
1891,san miguel mixquic,11,13640,9
1893,san miguel,11,13180,9
1894,san mateo,11,13040,9
1896,san nicolas tolentino garay,11,13219,9
1897,santa catarina yecahuizotl,11,13100,9
1900,santa cruz,11,13625,9
