id_modulo,descripcion_modulo
1,ÁLVARO OBREGÓN
2,AZCAPOTZALCO
4,CUAJIMALPA
17,IZTACALCO
18,IZTAPALAPA
19,MAGDALENA CONTRERAS
20,MIGUEL HIDALGO
21,MILPA ALTA
23,TLÁHUAC
24,TLALPAN
27,XOCHIMILCO
28,OTRO
3,CAMF ILLINOIS
5,CENTRAL DE ABASTOS
6,CENTRO SANTA FÉ
7,CST ASTURIAS
8,CST CUITLÁHUAC
9,CST GRAN SUR
10,CST LA VILLA
11,CST MA. DE QUEVEDO
12,CST MIXCOAC
13,CST ROJO GÓMEZ
14,CST TLATELOLCO
16,FERRERIA
22,MÓDULO CENTRAL
25,SETRAVI
15,CST OLIVAR DE LOS PADRES
26,VENUSTIANO CARRANZA
29,CHICAGO ILLINOIS
