unidad;CLUES;idInsti
HOSPITAL GENERAL TORRE MÉDICA TEPEPAN;DFSSA002672;1
CLÍNICA ESPECIALIZADA CONDESA;DFSSA003302;1
CLINICA ESPECIALIZADA CONDESA IZTAPALAPA;DFSSA006274;1
UNIDAD DE SALUD INTEGRAL PARA PERSONAS TRANS. ;DFSSA005163;1
SECRETARÍA DE SALUD PÚBLICA DE LA CIUDAD DE MÉXICO (OFICINAS CENTRALES - ADMINISTRATIVO);;1
SERVICIOS DE SALUD PÚBLICA DE LA CIUDAD DE MÉXICO (OFICINAS CENTRALES - ADMINISTRATIVO);;1
AGENCIA DE PROTECCIÓN SANITARIA DE LA CIUDAD DE MÉXICO (OFICINAS CENTRALES - ADMINISTRATIVO);;1
INSTITUTO PARA LA ATENCIÓN Y PREVENCIÓN DE LAS ADICCIONES EN LA CIUDAD DE MÉXICO (OFICINAS CENTRALES - ADMINISTRATIVO);;1
SERVICIO NACIONAL DE SALUD PÚBLICA (OFICINAS CENTRALES - ADMINISTRATIVO);;1
HOSPITAL PEDIÁTRICO AZCAPOTZALCO;DFIMB000026;2
HOSPITAL MATERNO INFANTIL DR. NICOLÁS M. CEDILLO;DFIMB000031;2
C.S.T-I PROHOGAR;DFIMB000043;2
C.S.T-I SAN MIGUEL AMANTLA;DFIMB000055;2
C.S.T-I SAN PEDRO XALPA;DFIMB000060;2
C.S.T-I SANTA CATARINA;DFIMB000072;2
C.S.T-I SANTA INÉS;DFIMB000084;2
C.S.T-I TLATILCO;DFIMB000096;2
C.S.T-I REYNOSA;DFIMB000101;2
C.S.T-I SANTA BÁRBARA;DFIMB000113;2
C.S.T-I 23 DE ABRIL;DFIMB000125;2
C.S.T-II TEZOZOMOC;DFIMB000130;2
C.S.T-III DR. MANUEL MARTÍNEZ BAEZ;DFIMB000142;2
C.S.T-II EL ARENAL;DFIMB000154;2
C.S.T-III SANTIAGO AHUIZOTLA;DFIMB000166;2
C.S.T-III DR. GALO SOBERÓN Y PARRA;DFIMB000171;2
